name,generic_name,manufacturer,purpose,warnings,route,dosage_form
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Suicidal Behavior and Ideation Antiepileptic drugs (AEDs), including gabapentin, increase the risk of suicidal thoughts or behavior in patients taking these drugs for any indication. Patients treated with any AED for any indication should be monitored for the emergence or worsening of depression, suicidal thoughts or behavior, and/or any unusual changes in mood or behavior. Pooled analyses of 199 placebo-controlled clinical trials (mono- and adjunctive therapy) of 11 different AEDs showed that patients randomized to one of the AEDs had approximately twice the risk (adjusted Relative Risk 1.8, 95% CI:1.2, 2.7) of suicidal thinking or behavior compared to patients randomized to placebo. In these trials, which had a median treatment duration of 12 weeks, the estimated incidence rate of suicidal behavior or ideation among 27,863 AED-treated patients was 0.43%, compared to 0.24% among 16,029 placebo-treated patients, representing an increase of approximately one case of suicidal thinking or behavior for every 530 patients treated. There were four suicides in drug-treated patients in the trials and none in placebo-treated patients, but the number is too small to allow any conclusion about drug effect on suicide. The increased risk of suicidal thoughts or behavior with AEDs was observed as early as one week after starting drug treatment with AEDs and persisted for the duration of treatment assessed. Because most trials included in the analysis did not extend beyond 24 weeks, the risk of suicidal thoughts or behavior beyond 24 weeks could not be assessed. The risk of suicidal thoughts or behavior was generally consistent among drugs in the data analyzed. The finding of increased risk with AEDs of varying mechanisms of action and across a range of indications suggests that the risk applies to all AEDs used for any indication. The risk did not vary substantially by age (5 to 100 years) in the clinical trials analyzed. Table 2 shows absolute and relative risk by indication for all evaluated AEDs. TABLE 2 Risk by indication for antiepileptic drugs in the pooled analysis Indication Placebo Patients with Events Per 1000 Patients Drug Patients with Events Per 1000 Patients Relative Risk: Incidence of Events in Drug Patients/Incidence in Placebo Patients Risk Difference: Additional Drug Patients with Events Per 1000 Patients Epilepsy 1.0 3.4 3.5 2.4 Psychiatric 5.7 8.5 1.5 2.9 Other 1.0 1.8 1.9 0.9 Total 2.4 4.3 1.8 1.9 The relative risk for suicidal thoughts or behavior was higher in clinical trials for epilepsy than in clinical trials for psychiatric or other conditions, but the absolute risk differences were similar for the epilepsy and psychiatric indications. Anyone considering prescribing gabapentin or any other AED must balance the risk of suicidal thoughts or behavior with the risk of untreated illness. Epilepsy and many other illnesses for which AEDs are prescribed are themselves associated with morbidity and mortality and an increased risk of suicidal thoughts and behavior. Should suicidal thoughts and behavior emerge during treatment, the prescriber needs to consider whether the emergence of these symptoms in any given patient may be related to the illness being treated. Patients, their caregivers, and families should be informed that AEDs increase the risk of suicidal thoughts and behavior and should be advised of the need to be alert for the emergence or worsening of the signs and symptoms of depression, any unusual changes in mood or behavior, or the emergence of suicidal thoughts, behavior, or thoughts about self-harm. Behaviors of concern should be reported immediately to healthcare providers. Neuropsychiatric Adverse Events–Pediatric Patients 3 to 12 Years of Age Gabapentin use in pediatric patients with epilepsy 3 to 12 years of age is associated with the occurrence of central nervous system related adverse events. The most significant of these can be classified into the following categories: 1) emotional lability (primarily behavioral problems), 2) hostility, including aggressive behaviors, 3) thought disorder, including concentration problems and change in school performance, and 4) hyperkinesia (primarily restlessness and hyperactivity). Among the gabapentin-treated patients, most of the events were mild to moderate in intensity. In controlled trials in pediatric patients 3 to 12 years of age, the incidence of these adverse events was: emotional lability 6% (gabapentin-treated patients) vs 1.3% (placebo-treated patients); hostility 5.2% vs 1.3%; hyperkinesia 4.7% vs 2.9%; and thought disorder 1.7% vs 0%. One of these events, a report of hostility, was considered serious. Discontinuation of gabapentin treatment occurred in 1.3% of patients reporting emotional lability and hyperkinesia and 0.9% of gabapentin-treated patients reporting hostility and thought disorder. One placebo-treated patient (0.4%) withdrew due to emotional lability. Withdrawal Precipitated Seizure, Status Epilepticus Antiepileptic drugs should not be abruptly discontinued because of the possibility of increasing seizure frequency. In the placebo-controlled studies in patients > 12 years of age, the incidence of status epilepticus in patients receiving gabapentin was 0.6% (3 of 543) versus 0.5% in patients receiving placebo (2 of 378). Among the 2074 patients > 12 years of age treated with gabapentin across all studies (controlled and uncontrolled) 31 (1.5%) had status epilepticus. Of these, 14 patients had no prior history of status epilepticus either before treatment or while on other medications. Because adequate historical data are not available, it is impossible to say whether or not treatment with gabapentin is associated with a higher or lower rate of status epilepticus than would be expected to occur in a similar population not treated with gabapentin. Tumorigenic Potential In standard preclinical in vivo lifetime carcinogenicity studies, an unexpectedly high incidence of pancreatic acinar adenocarcinomas was identified in male, but not female, rats (See PRECAUTIONS , Carcinogenesis, Mutagenesis, Impairment of Fertility ). The clinical significance of this finding is unknown. Clinical experience during gabapentin's premarketing development provides no direct means to assess its potential for inducing tumors in humans. In clinical studies in adjunctive therapy in epilepsy comprising 2085 patient-years of exposure in patients > 12 years of age, new tumors were reported in 10 patients (2 breast, 3 brain, 2 lung, 1 adrenal, 1 non-Hodgkin's lymphoma, 1 endometrial carcinoma in situ ), and preexisting tumors worsened in 11 patients (9 brain, 1 breast, 1 prostate) during or up to 2 years following discontinuation of gabapentin. Without knowledge of the background incidence and recurrence in a similar population not treated with gabapentin, it is impossible to know whether the incidence seen in this cohort is or is not affected by treatment. Sudden and Unexplained Death in Patients With Epilepsy During the course of premarketing development of gabapentin 8 sudden and unexplained deaths were recorded among a cohort of 2203 patients treated (2103 patient-years of exposure). Some of these could represent seizure-related deaths in which the seizure was not observed, e.g., at night. This represents an incidence of 0.0038 deaths per patient-year. Although this rate exceeds that expected in a healthy population matched for age and sex, it is within the range of estimates for the incidence of sudden unexplained deaths in patients with epilepsy not receiving gabapentin (ranging from 0.0005 for the general population of epileptics to 0.003 for a clinical trial population similar to that in the gabapentin program, to 0.005 for patients with refractory epilepsy). Consequently, whether these figures are reassuring or raise further concern depends on comparability of the populations reported upon to the gabapentin cohort and the accuracy of the estimates provided. Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)/Multiorgan hypersensitivity Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS), also known as Multiorgan hypersensitivity, has been reported in patients taking antiepileptic drugs, including gabapentin. Some of these events have been fatal or life-threatening. DRESS typically, although not exclusively, presents with fever, rash, and/or lymphadenopathy, in association with other organ system involvement, such as hepatitis, nephritis, hematological abnormalities, myocarditis, or myositis sometimes resembling an acute viral infection. Eosinophilia is often present. Because this disorder is variable in its expression, other organ systems not noted here may be involved. It is important to note that early manifestations of hypersensitivity, such as fever or lymphadenopathy, may be present even though rash is not evident. If such signs or symptoms are present, the patient should be evaluated immediately. Gabapentin should be discontinued if an alternative etiology for the signs or symptoms cannot be established.",,
Glimepiride,GLIMEPIRIDE,American Health Packaging,UNKNOWN,UNKNOWN,ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Use In Pregnancy CLARITHROMYCIN SHOULD NOT BE USED IN PREGNANT WOMEN EXCEPT IN CLINICAL CIRCUMSTANCES WHERE NO ALTERNATIVE THERAPY IS APPROPRIATE. IF PREGNANCY OCCURS WHILE TAKING THIS DRUG, THE PATIENT SHOULD BE APPRISED OF THE POTENTIAL HAZARD TO THE FETUS. CLARITHROMYCIN HAS DEMONSTRATED ADVERSE EFFECTS OF PREGNANCY OUTCOME AND/OR EMBRYO-FETAL DEVELOPMENT IN MONKEYS, RATS, MICE, AND RABBITS AT DOSES THAT PRODUCED PLASMA LEVELS 2 TO 17 TIMES THE SERUM LEVELS ACHIEVED IN HUMANS TREATED AT THE MAXIMUM RECOMMENDED HUMAN DOSES. (See PRECAUTIONS: Pregnancy .) Hepatotoxicity Hepatic dysfunction, including increased liver enzymes, and hepatocellular and/or cholestatic hepatitis, with or without jaundice, has been reported with clarithromycin. This hepatic dysfunction may be severe and is usually reversible. In some instances, hepatic failure with fatal outcome has been reported and generally has been associated with serious underlying diseases and/or concomitant medications. Discontinue clarithromycin immediately if signs and symptoms of hepatitis occur. QT Prolongation Clarithromycin has been associated with prolongation of the QT interval and infrequent cases of arrhythmia. Cases of torsades de pointes have been spontaneously reported during postmarketing surveillance in patients receiving clarithromycin. Fatalities have been reported. Clarithromycin should be avoided in patients with ongoing proarrhythmic conditions such as uncorrected hypokalemia or hypomagnesemia, clinically significant bradycardia (see CONTRAINDICATIONS ) and in patients receiving Class IA (quinidine, procainamide) or Class III (dofetilide, amiodarone, sotalol) antiarrhythmic agents. Elderly patients may be more susceptible to drug-associated effects on the QT interval. Drug Interactions Serious adverse reactions have been reported in patients taking clarithromycin concomitantly with CYP3A4 substrates. These include colchicine toxicity with colchicine; rhabdomyolysis with simvastatin, lovastatin, and atorvastatin; and hypotension with calcium channel blockers metabolized by CYP3A4 (e.g., verapamil, amlodipine, diltiazem) (see PRECAUTIONS: Drug Interactions ). Life-threatening and fatal drug interactions have been reported in patients treated with clarithromycin and colchicine. Clarithromycin is a strong CYP3A4 inhibitor and this interaction may occur while using both drugs at their recommended doses. If co-administration of clarithromycin and colchicine is necessary in patients with normal renal and hepatic function, the dose of colchicine should be reduced. Patients should be monitored for clinical symptoms of colchicine toxicity. Concomitant administration of clarithromycin and colchicine is contraindicated in patients with renal or hepatic impairment (see CONTRAINDICATIONS and PRECAUTIONS: Drug Interactions ). Clostridium difficile Associated Diarrhea Clostridium difficile associated diarrhea (CDAD) has been reported with use of nearly all antibacterial agents, including clarithromycin, and may range in severity from mild diarrhea to fatal colitis. Treatment with antibacterial agents alters the normal flora of the colon leading to overgrowth of C. difficile . C. difficile produces toxins A and B which contribute to the development of CDAD. Hypertoxin producing strains of C. difficile cause increased morbidity and mortality, as these infections can be refractory to antimicrobial therapy and may require colectomy. CDAD must be considered in all patients who present with diarrhea following antibiotic use. Careful medical history is necessary since CDAD has been reported to occur over two months after the administration of antibacterial agents. If CDAD is suspected or confirmed, ongoing antibiotic use not directed against C. difficile may need to be discontinued. Appropriate fluid and electrolyte management, protein supplementation, antibiotic treatment of C. difficile , and surgical evaluation should be instituted as clinically indicated. For information about warnings of other drugs indicated in combination with clarithromycin, refer to the WARNINGS section of their package inserts. Acute Hypersensitivity Reactions In the event of severe acute hypersensitivity reactions, such as anaphylaxis, Stevens-Johnson Syndrome, toxic epidermal necrolysis, drug rash with eosinophilia and systemic symptoms (DRESS), and Henoch-Schonlein purpura clarithromycin therapy should be discontinued immediately and appropriate treatment should be urgently initiated. Oral Hypoglycemic Agents/Insulin The concomitant use of clarithromycin and oral hypoglycemic agents and/or insulin can result in significant hypoglycemia. With certain hypoglycemic drugs such as nateglinide, pioglitazone, repaglinide and rosiglitazone, inhibition of CYP3A enzyme by clarithromycin may be involved and could cause hypolgycemia when used concomitantly. Careful monitoring of glucose is recommended. Oral Anticoagulants There is a risk of serious hemorrhage and significant elevations in INR and prothrombin time when clarithromycin is co-administered with warfarin. INR and prothrombin times should be frequently monitored while patients are receiving clarithromycin and oral anticoagulants concurrently. HMG-CoA Reductase Inhibitors (statins) Concomitant use of clarithromycin with lovastatin or simvastatin is contraindicated (see CONTRAINDICATIONS ) as these statins are extensively metabolized by CYP3A4, and concomitant treatment with clarithromycin increases their plasma concentration, which increases the risk of myopathy, including rhabdomyolysis. Cases of rhabdomyolysis have been reported in patients taking clarithromycin concomitantly with these statins. If treatment with clarithromycin cannot be avoided, therapy with lovastatin or simvastatin must be suspended during the course of treatment. Caution should be exercised when prescribing clarithromycin with statins. In situations where the concomitant use of clarithromycin with atorvastatin or pravastatin cannot be avoided, atorvastatin dose should not exceed 20 mg daily and pravastatin dose should not exceed 40 mg daily. Use of a statin that is not dependent on CYP3A metabolism (e.g.fluvastatin) can be considered. It is recommended to prescribe the lowest registered dose if concomitant use cannot be avoided.",,
Methocarbamol,METHOCARBAMOL,Proficient Rx LP,UNKNOWN,"WARNINGS Since methocarbamol may possess a general CNS depressant effect, patients receiving Methocarbamol tablets, USP should be cautioned about combined effects with alcohol and other CNS depressants. Safe use of Methocarbamol tablets, USP has not been established with regard to possible adverse effects upon fetal development. There have been reports of fetal and congenital abnormalities following in utero exposure to methocarbamol. Therefore, Methocarbamol tablets, USP should not be used in women who are or may become pregnant and particularly during early pregnancy unless in the judgment of the physician the potential benefits outweigh the possible hazards (see Precautions, Pregnancy ). Use In Activities Requiring Mental Alertness Methocarbamol may impair mental and/or physical abilities required for performance of hazardous tasks, such as operating machinery or driving a motor vehicle. Patients should be cautioned about operating machinery, including automobiles, until they are reasonably certain that methocarbamol therapy does not adversely affect their ability to engage in such activities.",ORAL,
anti itch,HYDROCORTISONE,"Meijer, Inc.",Purpose Anti-itch,"Warnings For external use only Do not use • in the genital area if you have a vaginal discharge. Consult a doctor. • for the treatment of diaper rash. Consult a doctor. When using this product • avoid contact with the eyes • do not use more than directed unless told to do so by a doctor • do not put directly into the rectum by using fingers or any mechanical device or applicator Stop use and ask a doctor if • condition worsens symptoms persist for more than 7 days or clear up and occur again within a few days, and do not begin use of any other hydrocortisone product unless you have asked a doctor • rectal bleeding occurs Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away (1-800-222-1222).",TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Drugs with thyroid hormone activity, alone or together with other therapeutic agents, have been used for the treatment of obesity. In euthyroid patients, doses within the range of daily hormonal requirements are ineffective for weight reduction. Larger doses may produce serious or even life-threatening manifestations of toxicity, particularly when given in association with sympathomimetic amines such as those used for their anorectic effects. The use of thyroid hormones in the therapy of obesity, alone or combined with other drugs, is unjustified and has been shown to be ineffective. Neither is their use justified for the treatment of male or female infertility unless this condition is accompanied by hypothyroidism.",,
Varenicline,VARENICLINE,Aurobindo Pharma Limited,UNKNOWN,UNKNOWN,ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,Purposes Antiseptic Antiseptic,"Warnings For external use only. Flammable, keep away from fire or flame. To reduce the risk of fire, PREP CAREFULLY: do not use 26-mL applicator for head and neck surgery do not use on an area smaller than 8.4 in. × 8.4 in. Use a smaller applicator instead. solution contains alcohol and gives off flammable vapors avoid getting solution into hairy areas. Hair may take up to 1 hour to dry. Wet hair is flammable. do not drape or use ignition source (e.g., cautery, laser) until solution is completely dry (minimum of 3 minutes on hairless skin; up to 1 hour in hair) do not allow solution to pool remove wet materials from prep area Allergy alert: This product may cause a severe allergic reaction. Symptoms may include: wheezing/difficulty breathing shock facial swelling hives rash If an allergic reaction occurs, stop use and seek medical help right away. Do not use on patients allergic to chlorhexidine gluconate or any other ingredient in this product for lumbar puncture or in contact with meninges on open skin wounds or as a general skin cleanser When using this product keep out of eyes, ears, and mouth. May cause serious or permanent injury if permitted to enter and remain. If contact occurs, rinse with cold water right away and contact a doctor. Stop use and ask a doctor if irritation, sensitization, or allergic reaction occurs. These may be signs of a serious condition. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away. Allergy alert: This product may cause a severe allergic reaction. Symptoms may include: wheezing/difficulty breathing shock facial swelling hives rash If an allergic reaction occurs, stop use and seek medical help right away.",,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Pain reliever/fever reducer,"Warnings Allergy alert: Naproxen sodium may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: • hives • facial swelling • asthma (wheezing) • shock • skin reddening • rash • blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you: • are age 60 or older • have had stomach ulcers or bleeding problems • take a blood thinning (anticoagulant) or steroid drug • take other drugs containing prescription or nonprescription NSAIDs (aspirin, ibuprofen, naproxen, or others) • have 3 or more alcoholic drinks every day while using this product • take more or for a longer time than directed Do not use • if you have ever had an allergic reaction to any other pain reliever/fever reducer • right before or after heart surgery Ask a doctor before use if • the stomach bleeding warning applies to you • you have a history of stomach problems, such as heartburn • you have high blood pressure, heart disease, liver cirrhosis, or kidney disease • you are taking a diuretic • you have problems or serious side effects from taking pain relievers or fever reducers • you have asthma Ask a doctor or pharmacist before use if you are • under a doctor’s care for any serious condition • taking any other drug When using this product • take with food or milk if stomach upset occurs • the risk of heart attack or stroke may increase if you use more than directed or for longer than directed Stop use and ask a doctor if • you experience any of the following signs of stomach bleeding: • feel faint • vomit blood • have bloody or black stools • have stomach pain that does not get better • pain gets worse or lasts more than 10 days • fever gets worse or lasts more than 3 days • redness or swelling is present in the painful area • any new symptoms appear • you have difficulty swallowing • it feels like the capsule is stuck in your throat If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use naproxen sodium during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)",,
Rescue Sleep,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER","Nelson Bach USA, Ltd.",Active ingredients Each 5X (HPUS) Purpose White Chestnut (Aesculus hippocastanum) Relief from repetitive thoughts Rock Rose (Helianthemum nummularium) Courage and presence of mind Clematis (Clematis vitalba) Focus when ungrounded Impatiens (Impatiens glandulifera) Patience with problems and people Cherry Plum (Prunus cerasifera) Balanced mind when losing control Star of Bethlehem (Ornithogalum umbellatum) Softens impact of shock,"Warnings When using this product keep away from eyes Stop use and ask a doctor if sleeplessness persists for more than two weeks: insomnia can be a symptom of serious underlying medical illness If pregnant or breastfeeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.",ORAL,
Pain Reliever Extra Strength,ACETAMINOPHEN,Valu Merchandisers Company,Purpose Pain reliever/fever reducer,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Do not use if you are allergic to acetaminophen or any of the inactive ingredients in this product with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. Ask a doctor before use if you have liver disease. Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. Stop use and ask a doctor if new symptoms occur pain gets worse or lasts more than 10 days fever gets worse or lasts more than 3 days redness or swelling is present These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,PURPOSE Sunscreen,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Topical analgesic,"Warnings For external use only Do not use other than as directed When using this product • avoid contact with the eyes or mucous membranes • do not apply to wounds or damaged skin • do not bandage tightly • do not use with a heating pad Stop use and ask a doctor if • condition worsens or symptoms persist for more than 7 days • symptoms clear up and occur again within a few days • redness is present or excessive skin irritation develops Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away. (1-800-222-1222)",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,Purposes Cough suppressant Expectorant Nasal decongestant,"Warnings Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have heart disease diabetes high blood pressure thyroid disease trouble urinating due to an enlarged prostate gland cough that occurs with too much phlegm (mucus) cough that lasts or is chronic such as occurs with smoking, asthma, chronic bronchitis or emphysema Ask a doctor or pharmacist before use if you are taking any other oral nasal decongestant or stimulant. When using this product, do not use more than directed. Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur symptoms do not get better within 7 days or are accompanied by fever cough lasts more than 7 days, comes back, or is accompanied by fever, rash, or persistent headache. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1800-222-122) right away.",,
OASIS Tears Lubricant Eye,GLYCERIN,"OASIS Medical, Inc.",Purpose lubricant Eye Drops,"Warnings For external use only Do not use If solution changes color or becomes cloudy If you are sensitive to any ingredient in this product When using this product To avoid contamination do not touch tip of container to any surface Replace cap after using Stop use and ask a doctor if You experience eye pain, changes in vision, continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",OPHTHALMIC,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS: Very rare cases of hyponatremia have been reported from world-wide postmarketing experience in patients treated with desmopressin acetate. Desmopressin acetate is a potent antidiuretic which, when administered, may lead to water intoxication and/or hyponatremia. Unless properly diagnosed and treated hyponatremia can be fatal. Therefore, fluid restriction is recommended and should be discussed with the patient and/or guardian. Careful medical supervision is required. When desmopressin acetate tablets are administered, in particular in pediatric and geriatric patients, fluid intake should be adjusted downward to decrease the potential occurrence of water intoxication and hyponatremia. (See PRECAUTIONS , Pediatric Use and Geriatric Use .) All patients receiving desmopressin acetate therapy should be observed for the following signs of symptoms associated with hyponatremia: headache, nausea/vomiting, decreased serum sodium, weight gain, restlessness, fatigue, lethargy, disorientation, depressed reflexes, loss of appetite, irritability, muscle weakness, muscle spasms or cramps and abnormal mental status such as hallucinations, decreased consciousness and confusion. Severe symptoms may include one or a combination of the following: seizure, coma and/or respiratory arrest. Particular attention should be paid to the possibility of the rare occurrence of an extreme decrease in plasma osmolality that may result in seizures which could lead to coma. Desmopressin acetate should be used with caution in patients with habitual or psychogenic polydipsia who may be more likely to drink excessive amounts of water, putting them at greater risk of hyponatremia.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS NOT FOR INJECTION INTO THE EYE. If a sensitivity reaction to polymyxin B sulfate and trimethoprim ophthalmic solution occurs, discontinue use. Polymyxin B sulfate and trimethoprim ophthalmic solution is not indicated for the prophylaxis or treatment of ophthalmia neonatorum.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Lorazepam is not recommended for use in patients with a primary depressive disorder of psychosis. As with all patients on CNS-acting drugs, patients receiving lorazepam should be warned not to operate dangerous machinery or motor vehicles and that their tolerance for alcohol and other CNS depressants will be diminished.",,
Thera Plus Maximum Strength Feminine Anti-Itch,"BENZOCAINE, RESORCINOL","FOURSTAR GROUP USA, INC.",Purpose External Analgesic,"Warnings For external use only. When using this product avoid contact with the eyes. Stop use and ask a doctor if condition worsens, or if symptoms persists for more than 7 days or clear up and occur again within a few days. Do not apply over large areas of the body. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,OTC - PURPOSE SECTION Cell Salt; Hemorrhoids; Keloids; Migraine; Nervousness; Constipation before and during menses.,"WARNINGS SECTION WARNINGS: Keep out of reach of children. Do not use if tamper-evident seal is broken or missing. If symptoms worsen or persist for more than a few days, consult a doctor. If pregnant or breast-feeding , ask a doctor before use.",,
